Num (Col 1),Num (Col 2),Num (Col 3),Num (Col 4),Num (Col 5),Num (Col 6),Num (Col 7),Num (Col 8),Num (Col 9),Num (Col 10),Num (Col 11),Num (Col 12),Num (Col 13),Num (Col 14),Num (Col 15),Num (Col 16),Num (Col 17),Num (Col 18),Num (Col 19),Num (Col 20),Num (Col 21),Num (Col 22),Num (Col 23),Num (Col 24),Num (Col 25),Num (Col 26),Num (Col 27),Num (Col 28),Num (Col 29),Num (Col 30),Num (Col 31),Num (Col 32),Num (Col 33),Num (Col 34),Num (Col 35),Num (Col 36),Num (Col 37),Num (Col 38),Num (Col 39),Num (Col 40),Num (Col 41),Num (Col 42),Num (Col 43),Num (Col 44),Num (Col 45),Num (Col 46),Num (Col 47),Num (Col 48),Num (Col 49),Num (Col 50),Num (Col 51),Num (Col 52),Num (Col 53),Num (Col 54),Num (Col 55),Num (Col 56),Num (Col 57),Num (Col 58),Num (Col 59),Num (Col 60),Num (Col 61),Num (Col 62),Num (Col 63),Num (Col 64),Num (Col 65),Num (Col 66),Num (Col 67),Num (Col 68),Num (Col 69),Num (Col 70),Num (Col 71),Num (Col 72),Num (Col 73),Num (Col 74),Num (Col 75),Num (Col 76),Num (Col 77),Num (Col 78),Num (Col 79),Num (Col 80),Num (Col 81),Num (Col 82),Num (Col 83),Num (Col 84),Num (Col 85),Num (Col 86),Num (Col 87),Num (Col 88),Num (Col 89),Num (Col 90),Num (Col 91),Num (Col 92),Num (Col 93),Num (Col 94),Num (Col 95),Num (Col 96),Num (Col 97),Num (Col 98),Num (Col 99),Num (Col 100),Num (Col 101),Num (Col 102),Num (Col 103),Nom (Col 104),Nom (Col 105),Nom (Col 106),Target (Col 107)
-0.564776685,-0.01540391,0.118426068,-0.103909113,-0.196312081,0.024514128,1.169839012,0.398493228,0.56932948,0.24763319,0.000779167,-0.028963713,-0.037695397,0.270267659,-0.170775469,-0.320887771,-0.002241462,-0.268420175,-0.651992008,-0.462849091,0.294907724,0.837932286,NaN,-0.000862828,-0.021845134,0.169352189,NaN,NaN,-0.165452159,-0.436846941,0.284399835,-0.068184659,1.767237412,0.097000474,1.180135363,0.404812186,-0.93699952,NaN,0.398088553,NaN,1.307784979,-0.418252203,0.945557173,-1.114505,0.162918473,-0.193104947,-0.089500612,-0.287895538,0.117078481,0.325036307,0.00119521,0.781808736,-1.094615428,-0.322367586,-1.324574144,0.078894016,0.699972535,-0.748900801,-0.301977685,-0.239770327,-0.718749526,-0.472560526,-0.566991636,0.032190335,-0.131567252,-0.910451439,0.410142818,1.401072067,0.369122705,0.592744687,0.338897517,-0.849335671,NaN,-0.01135632,-0.410107207,NaN,0.922290118,0.259145282,-0.354043528,-0.032243251,-0.019913824,-0.008440611,0.096759406,-0.53124184,-0.305883225,0.152141953,-0.676539718,-0.18930296,NaN,-0.103125359,0.060284093,-0.313971139,0.227873501,0.757837107,-0.53107013,NaN,-0.110585418,1.933925083,-0.094288398,0.235789004,-0.026186502,-0.483784005,NaN,0,0,0,0
-0.268575066,0.914558361,-0.230507042,-0.527371137,-0.080745318,-0.059902144,-0.763668561,0.038235059,-0.19242735,-0.692134596,-0.005062536,-0.179607452,-0.87451187,-0.499967333,0.115800227,-0.415546437,-0.001678999,-0.518019227,-0.480356081,-0.102302698,0.755555766,0.236843773,0.183560077,0.000104558,0.271806486,-0.210517166,-0.455943085,-1.466918858,-0.092337944,0.218195629,-0.816809365,0.232742808,0.194653975,-0.309202099,-0.797805948,1.149345552,1.897431521,-0.581595234,-0.158183721,-1.603095585,0.164876524,1.544313195,1.150191159,0.550740396,-0.109952253,-0.234589799,-0.377361158,2.110065108,-0.0965014,0.645842117,0.299555888,-1.035021495,1.45332619,1.123628422,1.890097157,-1.359696699,-0.384930607,0.518946365,1.04509433,-0.128896047,0.596578094,-0.292207939,-0.730162625,-0.219165837,-1.140196395,-0.307196714,-1.058068019,0.010646091,-0.714374275,0.484267424,-0.435275498,0.355725996,0.07982202,-0.010414173,0.143940987,-0.3732824,-0.321299395,-0.072108793,-0.528164904,-0.170539175,0.027674192,0.976625545,0.166700055,0.093111617,0.098440398,0.290464469,0.287819998,-0.164520067,0.045057177,-0.186299019,-0.127800862,-0.167028221,-0.308766358,-0.76694079,0.347717396,0.141642265,0.182094675,-0.35250033,-0.503081579,-1.856161817,-0.013567032,0.057459463,0.087260479,0,0,0,0
-0.760883126,0.776162835,-0.193132524,-1.503840031,-0.070238551,-1.336963991,-0.782617724,0.082713543,0.031681053,-1.073163649,0.095499839,-0.653667834,-0.038695343,-0.516904605,-0.041929773,1.037911209,0.001485989,-0.683442257,0.829244928,-0.141443744,-1.596152699,0.974791634,0.161003808,-0.000896584,-0.048328425,-0.08996026,-0.688791084,0.172368708,0.236680632,0.294386833,-0.210830051,0.65168907,0.096949109,0.180314288,-0.737416916,0.240386471,1.140752725,-0.849258031,0.047620943,-0.336439193,1.043925534,-0.571001963,-0.779388779,0.512760823,-0.14530955,-0.964336754,-0.476382143,2.182586559,-0.23370493,0.704037503,0.81489558,-4.300340434,3.148080914,-3.21E-05,-2.012159314,-0.687231525,-1.238170768,0.514466508,0.452121282,-0.142158319,-0.805957989,0.647559665,0.891854592,0.105346192,-1.541601237,-0.580901236,-1.897847766,-0.680849488,0.633041627,-0.266019592,0.321937025,0.964919841,0.05970198,-0.006693944,-0.909795033,-0.723125755,0.350136794,-0.207134924,-0.221573181,-0.013912947,0.014741165,1.068746616,0.152557391,0.552980788,-0.231231405,-0.169576479,0.847968525,0.451092853,-0.087173899,-0.24221224,-0.109527399,-0.191866442,0.024117317,0.470748965,1.197471811,0.114946388,-0.736598347,0.445366908,0.35426017,-0.708161562,-0.027057763,0.025261914,-0.18681009,NaN,0,0,0
0.572942064,0.585194899,-0.381441391,NaN,0.083342066,0.451409922,1.116012454,-0.217284607,-0.317146933,NaN,-0.054530638,-0.397550082,-0.551271676,-0.113071571,-0.083487799,0.731847195,-0.010656027,-0.12393123,-0.410897425,-0.248934374,1.017733079,-0.433338113,NaN,0.000136393,NaN,-0.357429811,1.332252456,0.3515666,0.196099251,0.054462967,-0.596397285,0.92786364,-1.048179421,NaN,-0.572946902,-0.596073694,0.553754214,NaN,0.071136792,-0.538226443,0.745025638,-0.259094917,NaN,0.523721409,-0.091656061,-1.237379497,0.228044486,1.948755228,0.794296376,0.591100011,0.804813899,0.997667014,0.664869031,-0.798829858,NaN,-0.113829095,-2.365075776,0.399479341,0.404899097,0.075356048,3.96E-05,1.020779032,0.382267075,0.041119277,-0.340318564,0.364699038,-1.916204352,-0.150424677,-1.153594437,0.816181086,-0.385308616,NaN,-0.050008792,0.055541324,NaN,-0.253481881,0.261114437,-0.133237371,-1.120370813,-0.16521838,-0.027867406,0.885829118,0.122374153,0.068212506,-0.197059228,0.037514566,0.729678587,0.583103278,0.624751835,-0.098756072,-0.986000022,-0.895369071,-0.333989464,-0.228812619,NaN,0.004683773,-0.785517396,0.698106972,-0.637167351,0.229040209,NaN,NaN,-0.230290483,0,0,0,0
1.17160595,-0.661153295,-0.145071918,0.693214768,-0.037933911,1.92399495,-0.60196734,-0.548091109,-0.071105534,0.106608569,-0.067960675,-1.180149944,-0.659711688,0.388242015,0.45158164,0.075292153,0.003588025,NaN,-0.405521269,-0.609109915,NaN,NaN,-0.265893197,-0.001380055,-0.546691075,-0.011821905,0.476049236,0.04094854,NaN,-0.36574614,0.089853734,-1.047800013,0.708462515,0.663386522,-1.705358515,1.133262373,-0.873883193,0.453362768,-0.169891829,0.304907078,-0.967137026,0.638840743,1.106507882,0.020259314,-0.011161924,-0.954885532,-0.112329649,0.326227157,-0.329263635,-2.221891045,-0.259697041,3.620563361,0.366146516,1.090711194,-1.064274329,0.994710303,-0.045855083,-0.098231858,0.516490425,0.28186607,1.220661753,-0.299258223,2.970025094,0.107963639,0.712080618,0.63531605,-0.174364651,-0.79574209,0.986423553,-0.71310025,-0.101389859,0.168827428,0.232367637,-0.024285679,-0.800665658,0.17008604,-1.549717038,-0.055113771,-0.582679668,-0.01587272,0.057315244,NaN,0.444967927,-0.367490891,0.007464922,-0.732396811,0.497595217,0.198215104,-0.691627777,-0.249882651,-0.053080347,1.0926201,-0.417365851,-0.528085682,-0.762547304,0.095390164,-1.619241976,0.499784962,-0.13463419,NaN,0.022779986,NaN,-0.145991569,0,0,0,0
0.208741983,-0.239488866,0.062735009,-0.448809013,-0.000497492,-1.376086365,-0.588885972,-0.245091221,-0.10383489,-2.015074688,0.086680112,-0.40987407,-0.058020487,-0.502750901,-0.046282077,-0.196684041,0.001035428,-0.698039668,0.020137321,0.207562392,-1.791018167,NaN,-0.55399498,0.003009587,NaN,0.362906133,-0.162069703,-3.159919826,NaN,-0.664909565,NaN,-0.361552001,-0.492127295,-0.773698167,1.245127343,1.165691196,0.205442571,NaN,0.208903315,NaN,0.774805117,0.257077628,-0.539785228,0.619151929,-0.070485897,-0.974593775,-0.581926387,1.038260793,-0.105956694,0.765798701,-1.324175025,NaN,2.711507165,-0.261461741,-1.210097737,0.49433126,-0.637097036,0.929340551,-1.450548967,0.003318998,0.207646338,0.013775248,-0.638488022,-0.167408017,0.115894702,-1.21890321,1.026416282,0.0638719,-0.632584913,-0.121542111,-0.482227653,0.670235554,-0.106482242,-0.01153559,0.344977386,0.43342404,0.114864519,0.350225731,-0.909876247,-0.108290218,-0.099583163,-0.758835656,0.014027927,0.112362723,0.188645312,0.3888887,0.009544112,-0.025358191,-0.661336651,-0.339343651,-0.434478161,-0.036497237,-0.179041369,0.887859624,NaN,0.161353292,0.98525371,NaN,0.262319662,-0.474979071,0.021433581,-0.330754645,2.305605627,0,0,0,0
-0.296487701,1.8164647,NaN,-0.248602885,0.077728253,NaN,0.454928898,0.16912507,0.131323526,-1.172007626,0.135533071,-0.15710919,-1.043569194,0.643940218,-0.1547477,1.442699719,0.004500641,0.460511895,-0.140650366,0.481193023,0.938331224,0.529065737,0.020257984,-0.000233905,0.40264485,-1.402067039,-0.368150885,NaN,0.103072478,0.355012446,-0.677139524,0.175552115,-0.374625802,-1.018444872,0.075467127,0.79837982,0.850001976,-0.095333707,-0.941927972,-0.604588361,-0.626064853,-0.79519058,0.289214074,-0.415940684,0.171951131,0.74490159,-0.352888454,1.804236091,0.141378346,-1.35814943,0.847365038,3.220230799,-0.641981959,-1.309546926,2.434711453,0.283468302,-0.018113559,-1.378652938,0.487865794,-0.035641746,-0.734303991,NaN,2.127899938,0.02221892,-0.394095685,-0.044316776,1.127388782,-0.770756184,NaN,-0.130697935,0.628367554,NaN,0.106762324,0.056256998,-0.20225341,-0.491270652,-0.633876164,-0.1777318,1.854219724,0.014593956,0.039183211,0.691525889,-0.20801153,NaN,0.13228555,0.062085981,0.57787436,-0.422035218,-0.179985328,0.034630804,-0.751718658,-0.623696573,0.058454653,0.62812564,0.487609305,-0.070487368,1.107394484,-0.316117357,-0.045036587,-1.040159339,0.078903919,-0.064506401,0.680898056,0,0,0,0
NaN,0.064908382,-0.473834532,-0.110724217,0.047007016,-1.036629346,1.110439709,-0.316128495,-0.00080883,-1.236778467,-0.070153945,-0.507801808,-0.179621314,NaN,-0.171903093,-0.613091048,-0.006064327,1.231482288,-0.77669077,-0.101090295,0.6808377,-0.057210034,-0.100247755,0.000654779,-0.051581274,0.64266018,-0.016065383,-0.550619205,-0.194851072,0.163073516,-1.631523001,-0.095422447,-0.888755344,-0.604456029,-0.400352154,3.888214305,-0.463978144,-0.114835051,-0.551912428,-0.199446563,-0.605877006,-0.069562317,NaN,0.264188593,NaN,-0.267591943,NaN,1.587111168,-0.575355839,-0.628763457,-0.434648367,-2.559058671,5.729521837,-0.353969794,1.212484999,-0.331889789,0.226776465,0.287931081,-0.799923021,0.218732858,1.272998818,0.10592331,0.069214459,NaN,-0.720029857,NaN,0.306844404,1.628155396,-0.79311361,NaN,0.451052029,0.549916843,0.320660113,-0.095116935,0.043080866,0.406986209,0.139356758,-0.037527,NaN,NaN,NaN,-0.708491119,NaN,0.63933695,-0.159556791,-0.091022847,-0.19895181,-0.236110603,-0.527534187,-0.113052893,-0.054397171,-0.455444212,NaN,-1.558442228,0.287942765,0.325290986,-1.448819313,-0.760954252,-0.491651967,-0.310667755,-0.039010878,-0.52979332,-0.027092901,0,0,0,0
0.534769636,0.329894071,-0.429593593,0.717000378,0.09843671,2.019008063,-0.69441882,0.377224262,-0.163005299,-0.085350947,0.010821034,-0.104104867,-0.139158094,-0.242660398,0.185692785,-0.020858585,0.006559665,3.547224259,-0.392811004,-0.147998304,-0.806986332,0.009931309,-0.503858127,-0.001750615,-0.260542128,0.056982123,1.967057147,-1.497960981,-0.222599076,-0.359535318,1.096270934,0.723083242,0.04800396,0.754669166,-0.992470171,-0.048327961,0.171024618,1.223779502,0.055266621,-0.032817221,-0.619964343,-0.697154577,-0.548679185,0.152272796,-0.038028688,-1.150883939,0.175085588,-0.884169014,0.188352018,-0.724441546,0.596739418,-1.606538361,-2.225465563,0.032662091,-0.720095907,0.39172173,0.523476004,-0.647615151,0.616209469,0.176663777,2.178796914,-0.030248937,0.449473052,0.213851225,1.77848535,0.649232254,-1.353925351,-0.242848535,0.099519041,-0.706735264,-0.395804551,0.273551034,-0.039149713,0.046871348,-0.319547149,-0.189059263,-1.004995291,0.251800366,-1.498869812,-0.13651741,0.044997706,-0.904160879,0.225799307,-0.07664934,0.601359082,-0.232780393,-0.070235921,-0.022118408,1.350437863,-0.046363156,-0.391249695,0.607006895,0.028574891,-1.43303782,-1.107750053,-0.01195733,-0.101176196,-0.567431888,-0.202620663,-0.451885645,0.003048201,1.165922872,-0.096873434,0,0,0,0
1.373696037,0.621296297,-0.091796652,0.872944456,0.012525304,0.876612279,0.760153427,-0.127122301,-0.130763493,0.497105019,-0.143257038,0.898731603,0.195394185,NaN,0.241950432,-1.030404036,-0.004399101,1.281805085,-0.274737305,-0.632790171,NaN,-0.174417735,-0.403528644,0.000630146,-0.173632366,0.185682045,0.788357748,-0.726359669,-0.289030858,-0.333018255,0.975628047,-0.811435548,0.069238957,0.813510732,0.086357599,-0.345750473,1.29323399,0.667234765,0.403787575,0.056461034,0.22560891,0.381669829,-0.782433193,-0.361277993,0.155473908,-0.041141629,-0.495800291,-1.508054387,-0.46863428,-0.484315659,-0.838390951,12.28686406,-0.255062187,0.608756843,1.011684748,0.023203111,0.037244459,NaN,0.272289329,0.204186102,0.686037402,-0.33884572,-1.101456643,-0.026741005,NaN,0.679653488,0.042691498,NaN,0.080754676,0.264470021,-0.331134271,-0.459322042,-0.108954578,-0.029639266,0.351260516,-0.442149248,NaN,0.386842147,-1.007968853,-0.161084612,-0.05217479,NaN,0.130933996,0.905113153,0.093626432,0.017786314,-0.950062449,-0.483070563,-0.588746196,-0.092100827,-0.352309366,1.398567236,-0.24665683,0.839693488,NaN,-0.07354556,1.263240871,-1.123709914,-0.011346087,-0.155856726,-0.026679474,0.391054546,-0.352491304,0,0,0,0
